"filename", "language", "JavaScript", "HTML", "PHP", "Markdown", "JSON", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 90, 0, 24, 31, 145
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 216, 0, 30, 56, 302
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_carousel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 175, 0, 29, 33, 237
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_close.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 23, 0, 7, 6, 36
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_code.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 36, 0, 6, 7, 49
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_custom-forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 333, 0, 39, 62, 434
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_dropdown.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 133, 0, 15, 19, 167
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 206, 0, 74, 54, 334
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_functions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 54, 0, 19, 14, 87
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_grid.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 15, 10, 53
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_images.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 13, 8, 43
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_input-group.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 113, 0, 32, 29, 174
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_jumbotron.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_list-group.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 70, 0, 22, 24, 116
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_media.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 7, 5, 42
